CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
397,Toronto Lidar Data - 2008,Please note that a license agreement must be signed in person at the Map and Data Library. Any use of the data in a publication must be approved by Google in writing. For further details please contact Map and Data Library staff.,,,"Restricted to U of T faculty, staff, and students.",Airborne 1 / Google,,,TORONTO,DIGITAL ELEVATION MODEL; ELEVATION; LIDAR,,,Airborne 1 / Google,Airborne 1/Google,,Vector,NAD83/NAVD88,,http://www.lidardata.com,"El Segundo, California",UTM Zone 17,Airborne 1,Written,Signed,,2008
398,Toronto Lidar Data - 2008 - Complete set,Please note that a license agreement must be signed in person at the Map and Data Library. Any use of the data in a publication must be approved by Google in writing. For further details please contact Map and Data Library staff.,,,"Restricted to U of T faculty, staff, and students.",Airborne 1 / Google,,,TORONTO,DIGITAL ELEVATION MODEL; ELEVATION; LIDAR,,,,Airborne 1/Google,,Vector,,,,"El Segundo, California",,Airborne 1,Written,Signed,,2008
399,Teranet - Ontario Parcel Data,,,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2007,DURHAM COUNTY; FRONTENAC COUNTY; HALTON COUNTY; HASTINGS COUNTY; LENNOX ADDINGTON COUNTY; NORTHUMBERLAND COUNTY; ONTARIO; PEEL COUNTY; SIMCOE COUNTY; TORONTO; VICTORIA COUNTY; YORK COUNTY,LAND USE; PARCELS; PROPERTY BOUNDARIES,2007,,Teranet,Teranet,,Vector,NAD83,2007,,Toronto,UTM,Teranet,Citation,None,,2007
400,Floodplain Hazard Land Mapping,"This digital data release, produced as part of the Lake Nipigon Region Geoscience Initiative (LNRGI), contains location information, rock descriptions, detailed petrographic descriptions, photomicrographs and qualitative modal analyses for 250 thin sections collected within the 2003 LNRGI bedrock mapping project area (OFR6136 and MRD132). Location information is given in the Universal Transverse Mercator (UTM) projection and grid system, Zone 16, North American Datum 1983, and is listed in Table 7. Samples are mainly from Nipigon diabase sills, Archean basement rocks, and the English Bay Complex.[248] Zone 16 & 17N[249] Zone 16 & 18[250] Zone 17S",Disc 1 of 4,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Northern Development and Mines,,,ONTARIO,DATA SOURCES; FLOODING; MAPS,,,,Ontario Ministry of Northern Development and Mines,,Raster,,,,,,,Citation,None,,
401,Floodplain Hazard Land Mapping,"This digital data release, produced as part of the Lake Nipigon Region Geoscience Initiative (LNRGI), contains location information, rock descriptions, detailed petrographic descriptions, photomicrographs and qualitative modal analyses for 250 thin sections collected within the 2003 LNRGI bedrock mapping project area (OFR6136 and MRD132). Location information is given in the Universal Transverse Mercator (UTM) projection and grid system, Zone 16, North American Datum 1983, and is listed in Table 7. Samples are mainly from Nipigon diabase sills, Archean basement rocks, and the English Bay Complex.[248] Zone 16 & 17N[249] Zone 16 & 18[250] Zone 17S",Disc 2 of 4,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Northern Development and Mines,,,ONTARIO,DATA SOURCES; FLOODING; MAPS,,,,Ontario Ministry of Northern Development and Mines,,Raster,,,,,,,Citation,None,,
402,Floodplain Hazard Land Mapping,"This digital data release, produced as part of the Lake Nipigon Region Geoscience Initiative (LNRGI), contains location information, rock descriptions, detailed petrographic descriptions, photomicrographs and qualitative modal analyses for 250 thin sections collected within the 2003 LNRGI bedrock mapping project area (OFR6136 and MRD132). Location information is given in the Universal Transverse Mercator (UTM) projection and grid system, Zone 16, North American Datum 1983, and is listed in Table 7. Samples are mainly from Nipigon diabase sills, Archean basement rocks, and the English Bay Complex.[248] Zone 16 & 17N[249] Zone 16 & 18[250] Zone 17S",Disc 3 of 4,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Northern Development and Mines,,,ONTARIO,DATA SOURCES; FLOODING; MAPS,,,,Ontario Ministry of Northern Development and Mines,,Raster,,,,,,,Citation,None,,
403,Floodplain Hazard Land Mapping,"This digital data release, produced as part of the Lake Nipigon Region Geoscience Initiative (LNRGI), contains location information, rock descriptions, detailed petrographic descriptions, photomicrographs and qualitative modal analyses for 250 thin sections collected within the 2003 LNRGI bedrock mapping project area (OFR6136 and MRD132). Location information is given in the Universal Transverse Mercator (UTM) projection and grid system, Zone 16, North American Datum 1983, and is listed in Table 7. Samples are mainly from Nipigon diabase sills, Archean basement rocks, and the English Bay Complex.[248] Zone 16 & 17N[249] Zone 16 & 18[250] Zone 17S",Disc 4 of 4,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Northern Development and Mines,,,ONTARIO,DATA SOURCES; FLOODING; MAPS,,,,Ontario Ministry of Northern Development and Mines,,Raster,,,,,,,Citation,None,,
404,London (Ont) Shapefile topos and Orthophotos. - 2010,"Digital Mapping CD DWG/Shape files

Double & single line street map of city of London,

parcel/property map shapeformat,

orthoimagery city of London 2005-2010

1:2000 topographic mapping.",,,"Restricted to U of T faculty, staff, and students.","City of London, Ont.",,2005,LONDON (ONTARIO),AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; BUILDING OUTLINES; CONTOURS; DIGITAL IMAGE PROCESSING; PARCELS; PROPERTY BOUNDARIES; ROADS; STREETS; TOPOGRAPHY,,,,,,Raster; Vector,,2005-2012,,"London, Ont.",,,Citation,None,,2005 to 2012
405,City of Mississauga Datasets and Colour Orthophotos - 2010 update - December,,,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BUILDING OUTLINES; BUILDINGS; BUILDINGS - FOOTPRINTS; CONTOURS; CULTURAL; DIGITAL ELEVATION MODEL; DIGITAL TERRAIN MODEL; ELEVATION; LAND USE; LANDMARKS; PARKING; PLANIMETRIC; POINTS OF INTEREST; RECREATION; ROADS; SIDEWALKS; TRIANGULATED SURFACES; UTILITIES; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,,,City of Mississauga,None,None,,
406,City of Mississauga Datasets and Colour Orthophotos - 2010 update - September,,,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BUILDING OUTLINES; BUILDINGS; BUILDINGS - FOOTPRINTS; CONTOURS; CULTURAL; DIGITAL ELEVATION MODEL; DIGITAL TERRAIN MODEL; ELEVATION; LAND USE; LANDMARKS; PARKING; PLANIMETRIC; POINTS OF INTEREST; RECREATION; ROADS; SIDEWALKS; TRIANGULATED SURFACES; UTILITIES; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,,,City of Mississauga,None,None,,
407,City of Mississauga Datasets - 2011 - March,"City of MIssissauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
408,City of Mississauga Datasets - 2011 - March,"City of MIssissauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
409,City of Mississauga Datasets - 2011 - June,"City of MIssissauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
410,City of Mississauga Datasets - 2011 - June,"City of MIssissauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
411,City of Mississauga Datasets - 2011 - September,"City of MIssissauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
412,City of Mississauga Datasets - 2011 - September,"City of MIssissauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
413,GIS 20 Essential Skills,,,,"Restricted to U of T faculty, staff, and students.",Gina Clemmer,,2010,,TUTORIAL,,,,,,Vector,,,,,,ESRI,None,None,,
414,ESRI Streetmap Premium Europe and North America - Europe 2,"from website http://resources.arcgis.com/content/esri-streetmap-premium/2011/about Esri StreetMap Premium is an enhanced, ready-to-use offline street dataset that works with ArcGIS Desktop or ArcGIS Server to provide advanced geocoding, routing, and high-quality cartographic display for North America and 45 European countries. Esri StreetMap Premium 2011 is available for North America and will be available for Europe later this summer.",,,"Restricted to U of T faculty, staff, and students.",TomTom,,,EUROPE; NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,ZIP,,2011 Release 1,,USA,,ESRI,Citation,None,,
415,ESRI Streetmap Premium Europe and North America - North America 2,"from website http://resources.arcgis.com/content/esri-streetmap-premium/2011/about Esri StreetMap Premium is an enhanced, ready-to-use offline street dataset that works with ArcGIS Desktop or ArcGIS Server to provide advanced geocoding, routing, and high-quality cartographic display for North America and 45 European countries. Esri StreetMap Premium 2011 is available for North America and will be available for Europe later this summer.

",,,"Restricted to U of T faculty, staff, and students.",TomTom,,,EUROPE; NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,ZIP,,2011 Release 1,,USA,,ESRI,Citation,None,,
416,ESRI Streetmap Premium Europe and North America - Europe 1,"from website http://resources.arcgis.com/content/esri-streetmap-premium/2011/about Esri StreetMap Premium is an enhanced, ready-to-use offline street dataset that works with ArcGIS Desktop or ArcGIS Server to provide advanced geocoding, routing, and high-quality cartographic display for North America and 45 European countries. Esri StreetMap Premium 2011 is available for North America and will be available for Europe later this summer.",,,"Restricted to U of T faculty, staff, and students.",TomTom,,,EUROPE; NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,ZIP,,2011 Release 1,,USA,,ESRI,Citation,None,,
417,ESRI Streetmap Premium Europe and North America - North America 1,"from website http://resources.arcgis.com/content/esri-streetmap-premium/2011/about Esri StreetMap Premium is an enhanced, ready-to-use offline street dataset that works with ArcGIS Desktop or ArcGIS Server to provide advanced geocoding, routing, and high-quality cartographic display for North America and 45 European countries. Esri StreetMap Premium 2011 is available for North America and will be available for Europe later this summer.

",,,"Restricted to U of T faculty, staff, and students.",TomTom,,,EUROPE; NORTH AMERICA (ENTITY),GEOCODING; ROADS; STREETS,,,,ESRI / TomTom,,ZIP,,2011 Release 1,,USA,,ESRI,Citation,None,,
418,Africa Digital Maps,"Digital Mapping CD DWG/Shape files

Double & single line street map of city of London,

parcel/property map shapeformat,

orthoimagery city of London 2005-2010

1:2000 topographic mapping.",,,"Restricted to U of T faculty, staff, and students.",GfK GeoMarketing,,,AFRICA; ZIMBABWE; ZAMBIA; WESTERN SAHARA; UGANDA; TUNISIA; TOGO; TANZANIA; SWAZILAND; SUDAN; SOUTH AFRICA; SOMALIA; SIERRA LEONE; SEYCHELLES; SAO TOME AND PRINCIPE; SENEGAL; RWANDA; REUNION; NIGERIA; NIGER; NAMIBIA; MOZAMBIQUE; MOROCCO; MAYOTTE; MAURITIUS; MAURITANIA; MALI; MALAWI; MADAGASCAR; LIBYA; LIBERIA; LESOTHO; KENYA; GUINEA; GUINEA-BISSAU; GHANA; GAMBIA; GABON; ETHIOPIA; ERITREA; EQUATORIAL GUINEA; EGYPT; DJIBOUTI; CONGO; DEMOCRATIC REPUBLIC OF CONGO; COMOROS; CHAD; CENTRAL AFRICAN REPUBLIC; CAPE VERDE; CAMEROON; BURUNDI; BURKINA FASO; BOTSWANA; BENIN; ANGOLA; ALGERIA; C̫TE D'IVOIRE,ADMINISTRATIVE BOUNDARIES; AIRPORTS; CITIES; DATA SOURCES; HYDROLOGY; TRANSPORTATION; TOPOGRAPHY,2011,2011,GfK GeoMarketing,,,Vector,WGS84,,,Germany,,GfK GeoMarketing,Citation,None,,
419,London (Ont) Shapefile topos and Orthophotos. - 2011,"Digital Mapping CD DWG/Shape files

Double & single line street map of city of London,

parcel/property map shapeformat,

orthoimagery city of London 2005-2010

1:2000 topographic mapping.",,,"Restricted to U of T faculty, staff, and students.","City of London, Ont.",,2005,LONDON (ONTARIO),AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; BUILDING OUTLINES; CONTOURS; DIGITAL IMAGE PROCESSING; PARCELS; PROPERTY BOUNDARIES; ROADS; STREETS; TOPOGRAPHY,,,,,,Raster; Vector,,2005-2012,,"London, Ont.",,,Citation,None,,2005 to 2012
420,City of Mississauga Datasets - 2011 - December,"City of Mississauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
421,City of Mississauga Datasets - 2011 - December,"City of Mississauga Dataset topographic data including planimetry, utility, contours, property fabric, vegetation, civic numbers, address, boundaries, public spaces and street centrelines",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2011,MISSISSAUGA,ADDRESSES; BOUNDARIES; CONTOURS; DIGITAL TERRAIN MODEL; LAND USE; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,,,Raster; Vector,,,,,,,None,None,,2011
422,City of Mississauga Datasets - 2012 - April,"Datasets include addresses, boundaries, existing land use and zoning, orthophoto mosaic, public spaces, street casing, street centrelines, transit, vegetation, civic numbers, DEM, contours, and property fabric.",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; DIGITAL ELEVATION MODEL; ROADS; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,Mississauga,,City of Mississauga,None,None,,
423,City of Mississauga Datasets - 2012 - April,"Datasets include addresses, boundaries, existing land use and zoning, orthophoto mosaic, public spaces, street casing, street centrelines, transit, vegetation, civic numbers, DEM, contours, and property fabric.",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; DIGITAL ELEVATION MODEL; ROADS; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,Mississauga,,City of Mississauga,None,None,,
424,Teranet - Ontario Parcel Data,"Includes data for the following countries:

AFGHANISTAN, ARMENIA, AZERBAIJAN, BAHRAIN, BANGLADESH, BHUTAN, BRUNEI DARUSSALAM, CAMBODIA, CHINA, GEORGIA, INDIA, INDONESIA, IRAN, IRAQ, ISRAEL, JAPAN, JORDAN, KAZAKHSTAN, KUWAIT, KYRGYZSTAN, LAOS, LEBANON, MALAYSIA, MALDIVES, MONGOLIA, MYANMAR, NEPAL, NORTH KOREA, OMAN, PAKISTAN, PAPUA NEW GUINEA, PHILIPPINES, QATAR, RUSSIA, SAUDI ARABIA, SINGAPORE, SOUTH KOREA, SRI LANKA, SYRIA, TAIWAN, TAJIKISTAN, THAILAND, TIMOR-LESTE, TURKMENISTAN, UNITED ARAB EMIRATES, UZBEKISTAN, VIETNAM, YEMEN",,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2012,ONTARIO,LAND USE; PARCELS; PROPERTY BOUNDARIES,,,,Teranet,,Vector,,2012,,Toronto,,Teranet,Citation,None,,2012
425,Asia GIS Data,"Includes data for the following countries:

AFGHANISTAN, ARMENIA, AZERBAIJAN, BAHRAIN, BANGLADESH, BHUTAN, BRUNEI DARUSSALAM, CAMBODIA, CHINA, GEORGIA, INDIA, INDONESIA, IRAN, IRAQ, ISRAEL, JAPAN, JORDAN, KAZAKHSTAN, KUWAIT, KYRGYZSTAN, LAOS, LEBANON, MALAYSIA, MALDIVES, MONGOLIA, MYANMAR, NEPAL, NORTH KOREA, OMAN, PAKISTAN, PAPUA NEW GUINEA, PHILIPPINES, QATAR, RUSSIA, SAUDI ARABIA, SINGAPORE, SOUTH KOREA, SRI LANKA, SYRIA, TAIWAN, TAJIKISTAN, THAILAND, TIMOR-LESTE, TURKMENISTAN, UNITED ARAB EMIRATES, UZBEKISTAN, VIETNAM, YEMEN",,,"Restricted to U of T faculty, staff, and students.",GfK GeoMarketing,,,ASIA; SOUTH ASIA; EAST ASIA; NORTH EURASIA; SOUTH EAST ASIA; AFGHANISTAN; ARMENIA; AZERBAIJAN; BAHRAIN; BANGLADESH; BHUTAN; BRUNEI DARUSSALAM; CAMBODIA; CHINA; GEORGIA; INDIA; INDONESIA; IRAN; IRAQ; ISRAEL; JAPAN; JORDAN; KAZAKHSTAN; KUWAIT; KYRGYZSTAN; LAOS; LEBANON; MALAYSIA; MALDIVES; MONGOLIA; MYANMAR; NEPAL; NORTH KOREA; OMAN; PAKISTAN; PAPUA NEW GUINEA; PHILIPPINES; QATAR; RUSSIA; SAUDI ARABIA; SINGAPORE; SOUTH KOREA; SRI LANKA; SYRIA; TAIWAN; TAJIKISTAN; THAILAND; TIMOR-LESTE; UNITED ARAB EMIRATES; UZBEKISTAN; VIET NAM; YEMEN,ADMINISTRATIVE BOUNDARIES; AIRPORTS; CITIES; HYDROLOGY; TOPOGRAPHY; TRANSPORTATION; ROADS; RAILROADS; POSTAL GEOGRAPHY; HIGHWAYS; WORLD CITIES,,,GfK GeoMarketing,,,,WGS84,,,Germany,,GfK GeoMarketing,Citation,None,,
426,City of Mississauga Storm Sewer Network,"Mississauga's Storm Sewers, provided by the City of Mississauga.",,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,2012 Aug 13th,MISSISSAUGA,SEWERS,2012,,City of Mississauga,City of Mississauga,,SHAPEFILE,,,,"Mississauga, Ontario",,City of Mississauga,Citation,None,,2012
427,City of Mississauga Datasets - 2012 - June,"Datasets include addresses, boundaries, existing land use and zoning, orthophoto mosaic, public spaces, street casing, street centrelines, transit, vegetation, civic numbers, DEM, contours, and property fabric.",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; DIGITAL ELEVATION MODEL; ROADS; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,Mississauga,,City of Mississauga,None,None,,
428,City of Mississauga Datasets - 2012 - June,"Datasets include addresses, boundaries, existing land use and zoning, orthophoto mosaic, public spaces, street casing, street centrelines, transit, vegetation, civic numbers, DEM, contours, and property fabric.",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; DIGITAL ELEVATION MODEL; ROADS; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,Mississauga,,City of Mississauga,None,None,,
429,ESRI Data: World Base Maps,"ESRI DATA: World Countries and World Administrative Areas; 2010 US Census datasets with their new geometry and attributes. Block Group, Tract, County and State are all represented as polygons with over 40 attribute fields containing population totals by age and race, along with family and household information. Census Blocks are represented as points with total population and household information; European demographics datasets, North America Street Map, World Base Maps, mainly topographic data such as roads, lakes, administrative boundaries",Disc 1 of 3,,"Restricted to U of T faculty, staff, and students.",ESRI,,2012,EUROPE; UNITED STATES (INCLUSIVE); WORLD (INCLUSIVE),AERODROMES; BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; CENSUS; CITIES; CONTINENTS; CONTOURS; COUNTRIES; CULTURAL; DESIGNATED PLACES (DPL); GAZETTEERS; HIGHWAYS; ROADS; STREETS,2012,,ESRI,,,SDC (ESRI COMPRESSED),WGS84,,,,Geographic,ESRI,Citation,None,various,2012
430,ESRI Data: World Base Maps,"ESRI DATA: World Countries and World Administrative Areas; 2010 US Census datasets with their new geometry and attributes. Block Group, Tract, County and State are all represented as polygons with over 40 attribute fields containing population totals by age and race, along with family and household information. Census Blocks are represented as points with total population and household information; European demographics datasets, North America Street Map, World Base Maps, mainly topographic data such as roads, lakes, administrative boundaries",Disc 2 of 3,,"Restricted to U of T faculty, staff, and students.",ESRI,,2012,EUROPE; UNITED STATES (INCLUSIVE); WORLD (INCLUSIVE),AERODROMES; BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; CENSUS; CITIES; CONTINENTS; CONTOURS; COUNTRIES; CULTURAL; DESIGNATED PLACES (DPL); GAZETTEERS; HIGHWAYS; ROADS; STREETS,2012,,ESRI,,,SDC (ESRI COMPRESSED),WGS84,,,,Geographic,ESRI,Citation,None,various,2012
431,ESRI Data: World Base Maps,"ESRI DATA: World Countries and World Administrative Areas; 2010 US Census datasets with their new geometry and attributes. Block Group, Tract, County and State are all represented as polygons with over 40 attribute fields containing population totals by age and race, along with family and household information. Census Blocks are represented as points with total population and household information; European demographics datasets, North America Street Map, World Base Maps, mainly topographic data such as roads, lakes, administrative boundaries",Disc 3 of 3,,"Restricted to U of T faculty, staff, and students.",ESRI,,2012,EUROPE; UNITED STATES (INCLUSIVE); WORLD (INCLUSIVE),AERODROMES; BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; CENSUS; CITIES; CONTINENTS; CONTOURS; COUNTRIES; CULTURAL; DESIGNATED PLACES (DPL); GAZETTEERS; HIGHWAYS; ROADS; STREETS,2012,,ESRI,,,SDC (ESRI COMPRESSED),WGS84,,,,Geographic,ESRI,Citation,None,various,2012
432,GIS Tutorial II Spatial Analysis Workbook,"Spatial Analysis Workbook DVD Maps and Data

",See also CD # 438,,Publicly accessible,David W. Allen,,,WORLD (INCLUSIVE),EDUCATION,,,,ESRI Press,,Vector,,,,"Redlands, California",,ESRI Press,None,None,,2009
433,GIS Tutorial Workbook for ArcView,"Thumbnail for GIS Tutorial Workbook for ArcView 
Workbook for ArcView 9, DVD Maps and Data",,,Publicly accessible,Wilpen L. Gorr and Kristen S. Kurland,,2008,WORLD (INCLUSIVE),EDUCATION,,,,ESRI Press,,Vector,,Third Edition,,,,ESRI Press,None,None,,2008
434,GIS Tutorial for Marketing,GIS Tutorial for Marketing Data CD,,,Publicly accessible,Fred L. Miller,,2007,WORLD (INCLUSIVE),EDUCATION,,,,ESRI Press,,Vector,,,,,,ESRI Press,None,None,,
435,City of Mississauga Datasets - 2012 - October,"Datasets include addresses, boundaries, existing land use and zoning, orthophoto mosaic, public spaces, street casing, street centrelines, transit, vegetation, civic numbers, DEM, contours, and property fabric.",2 discs,,"Restricted to U of T faculty, staff, and students.",City of Mississauga,,,MISSISSAUGA,ADDRESSES; AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; DIGITAL ELEVATION MODEL; ROADS; STREETS; TRANSIT; TRIANGULATED SURFACES; UTILITIES; VEGETATION; ZONING,,,,City of Mississauga,,SHAPEFILE,,,,Mississauga,,City of Mississauga,None,None,,
436,London (Ont) Shapefile topos and Orthophotos. - 2012,"Digital Mapping CD DWG/Shape files

Double & single line street map of city of London,

parcel/property map shapeformat,

orthoimagery city of London 2005-2010

1:2000 topographic mapping.",,,"Restricted to U of T faculty, staff, and students.","City of London, Ont.",,2005,LONDON (ONTARIO),AIR PHOTOS - COLOUR - ORTHORECTIFIED; BOUNDARIES; BUILDING OUTLINES; CONTOURS; DIGITAL IMAGE PROCESSING; PARCELS; PROPERTY BOUNDARIES; ROADS; STREETS; TOPOGRAPHY,,,,,,Raster; Vector,,2005-2012,,"London, Ont.",,,Citation,None,,2005 to 2012
437,China 2000-2010 City Population Census Data with GIS Maps,"DVD of geospatial and tabular datasets containing harmonized 2000-2010 census data at the city (prefecture) level, as well as administrative boundaries, hydrography, railways, and roads. Consult metadata for list of variables and projection parameters.",,,"Restricted to U of T faculty, staff, and students.","All China Marketing Research Co., Ltd.",,2013,CHINA,CENSUS; CHINA; POPULATION,2013,,"All China Marketing Research Co., Ltd.","All China Marketing Research Co., Ltd.",,EXCEL SPREADSHEET,varies,,,"Ann Arbor, MI",varies,China Data Center,Citation,None,,2000 to 2010
438,GIS Tutorial II Spatial Analysis Workbook - 2011,Spatial Analysis Workbook DVD Maps and Data,See also CD # 432,,Publicly accessible,David W. Allen,,,WORLD (INCLUSIVE),EDUCATION,,,,ESRI Press,,Vector,,,,"Redlands, California",,ESRI Press,None,None,,2009
439,Iran Road Tranport Atlas,"Iran Road Transport Atlas CD contains comprehensive information on Iran roads and general service facilities, including gas stations, police, mosques. As well as Asia-Europe Transport Network.",,,"Restricted to U of T faculty, staff, and students.",Iran Transportation & Terminals Organization,,2003,IRAN,ROADS,,,,,,Vector,,,,,,Iran Transportation & Terminals Organization,None,None,,2003
440,"Tabula Imperii Romani: K 35/2, Philippopolis",,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106322905306196,,"Dalakov, Stefan",,,,,,,,,,,,,,,,,,,,
441,Rare metal mineralizations in Quebec,"Rare metal (Y, Zr, Nb, Ta, Be, Li, REE) mineralizations in Quebec, MRN, 2003. Ministere des Ressources naturelles, DV 2003-04.",,,"Restricted to U of T faculty, staff, and students.",Ressources naturelles Quebec,,2003 Apr 1st,QUEBEC,MINERAL RESOURCES; NATURAL RESOURCES,2003,,Ressources naturelles Quebec,,2012 Nov 30th,Vector,,,,,,Ressources naturelles Quebec,None,None,,
